pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p200004	-0.41125	0.03076	-0.10953	0.30316	0.30604	-0.69234	0.13545	-0.21128	0.05572	0.23126	-0.98403	-0.94553	0.78034	0.41749	-0.12894	0.45915	0.09264	0.30414	0.02344	0.36372	0.14413	0.12185	0.15020	-0.22116	0.04430	0.70974	-0.34259	0.01888	0.15232	-0.07418	-0.05762	-0.47798	(Past $e0)
p200009	-0.34126	-0.48780	-0.06302	0.52129	0.15375	-0.52141	-0.10862	0.01987	0.22729	0.48019	-0.14668	-0.02837	-0.43618	0.15238	-0.17825	-0.41354	0.03875	-0.15096	0.19814	-0.10233	0.13388	-1.01250	0.33480	0.18253	0.10167	0.09256	0.43715	0.47983	-1.02547	0.34507	0.04769	-1.26562	(Agent $e0 $x0)
p200011	0.31126	-0.25048	-0.08345	-0.08052	-0.07298	-0.14003	0.13425	-0.59634	-0.04937	-0.43353	-0.25937	0.12516	0.47636	-0.15465	1.03509	-0.47368	-0.10211	-0.18869	0.12189	0.07381	-0.05331	-0.22022	-0.66273	-0.00913	0.81345	-0.18610	0.32328	-0.25442	0.07591	0.44029	0.23265	-0.02282	(Patient $e0 $x0)
p200012	-0.14068	-0.89134	-0.22495	-0.28729	-0.33307	-0.56109	0.14994	0.72028	0.05847	0.04774	0.17647	-0.01172	0.44597	-0.60343	0.11233	-0.00741	0.34775	0.51106	0.39419	-0.28481	-0.08854	0.21945	-0.19611	0.20925	-0.40878	-0.06433	0.18449	-0.01254	-0.06375	-0.23037	-0.63292	0.09214	(Theme $e0 $x0)
p200025	-0.07686	-0.00935	0.18540	0.14569	0.19910	0.14189	-0.20783	0.16903	0.58647	-0.02270	-0.41259	-0.17462	-0.83680	-0.08159	0.72080	0.47914	0.01744	0.33841	-0.44932	-0.45035	-0.15881	-0.41179	-0.26335	-0.10014	-0.18974	0.46401	-0.46120	-0.09599	-0.46299	0.53026	0.04538	0.07195	(And (Agent $e0 $x0) (Past $e0))
p200030	-0.27440	-0.44950	-0.01141	-0.27508	0.02671	-0.15429	0.41169	-0.00589	0.01943	0.41165	-0.31250	-0.13306	-0.14097	0.22449	0.77756	0.39795	-0.15144	-0.33249	-0.30753	0.59480	-0.15919	0.15786	-0.05044	-0.07084	0.59938	-0.52174	0.15977	0.09915	0.07581	-0.27515	0.06842	0.26207	(And (Past $e0) (Patient $e0 $x0))
p200036	0.26641	-0.08793	-0.10611	0.07226	-0.10495	-0.30007	-0.27626	0.06807	0.01920	-0.03752	0.69055	-0.45170	0.24460	-0.28730	-0.17410	0.50326	0.01532	0.60547	-0.33284	-0.05200	-0.12528	-0.05164	-0.61388	-0.17951	0.07004	0.37848	0.52934	0.17394	0.17573	0.25460	0.09870	0.26043	(And (Past $e0) (Theme $e0 $x0))
p200038	0.11904	-0.26234	1.55389	0.31660	-0.00166	-0.11123	-0.57009	-0.18095	0.49751	0.04598	-0.06955	0.19426	0.50037	-0.37209	-0.01007	0.17942	-0.24587	-0.09433	-0.23229	-0.11319	-0.21111	0.21424	0.39389	-0.07289	-0.02848	-0.30677	-0.00516	0.02336	0.02246	-0.16984	0.44880	0.02343	(Experiencer $e0 $x0)
p200040	0.06370	0.54761	-0.07342	-0.33732	-0.32366	0.20915	-0.13502	-0.15718	-0.07267	0.16562	0.20646	0.11782	0.62891	-0.42079	0.16976	-0.00969	-0.07392	-0.00468	-0.13290	0.62648	-0.23304	0.09616	0.08484	0.07949	0.02271	0.08245	-0.28756	0.16725	-1.13168	0.33118	-0.39943	0.26695	(Ongoing $e0)
p200048	-0.01242	-0.26893	-0.17458	0.33553	0.11105	-0.13507	-0.17693	0.30676	0.23145	0.02549	-0.46457	0.09376	-0.26033	-0.44670	-0.00884	0.16547	0.33226	-0.48927	0.24240	0.25174	-0.26029	0.60476	0.05206	0.09663	-0.26955	-0.18209	0.45154	-0.18651	-0.13584	0.60099	-0.34832	-0.44872	(And (Agent $e0 $x0) (Theme $e0 $x1))
p200049	1.83551	-0.14098	-0.02480	0.42492	0.33842	0.21991	0.24845	-0.07579	0.36047	-0.04754	0.35472	-0.04438	0.15387	0.13570	0.01189	0.39321	-0.66845	0.12022	-0.32788	0.19712	0.99342	-0.49990	0.34113	-0.11405	-0.06923	-0.53834	0.02199	-0.85969	0.12307	0.11278	-0.66738	-0.91067	(Member $x0 thing)
p200051	0.19067	-0.03890	0.72565	0.06764	0.11226	0.17771	0.50931	0.47474	0.01152	-0.21007	-0.14925	-0.07523	-0.16449	0.06114	-0.23472	-0.62549	-0.08691	0.51647	0.00218	0.82421	-0.13206	-0.09195	-0.40944	-0.09759	-0.20869	-0.03120	-0.14261	0.07667	0.05516	0.29146	0.17600	0.04797	(Location $e0 $x0)
p200075	-0.28163	-0.50519	0.01328	0.11628	0.02851	0.03021	-0.01285	-0.40217	0.04714	-0.29936	0.01894	-0.18101	-0.17204	-0.26902	-0.24330	0.01943	0.05612	0.03652	0.13566	-0.27767	0.34812	-0.22479	-0.51102	-0.36784	0.27615	-0.27643	-0.57065	0.05543	-0.36410	-0.42612	0.02615	0.86159	(And (Agent $e0 $x0) (Patient $e0 $x1))
p200080	-0.37226	0.00068	0.50671	-0.51198	0.70926	0.21365	-0.11736	-0.02864	-0.18892	-0.01544	0.07349	-0.11078	0.10278	0.26921	-0.12449	-0.01604	-0.50259	-0.23120	0.51673	-0.14084	0.21873	-0.00249	-0.21923	0.38935	0.22835	0.21318	0.10364	0.04010	-0.04711	0.27421	-0.55016	-0.39568	(Theme $e0 $e1)
p200083	0.08766	0.52206	0.01009	-0.02417	-0.02803	-0.23508	-0.19369	0.72052	-0.39993	0.39335	0.02059	-0.73714	-0.34471	-0.75242	-0.17760	-0.15303	-0.19979	-0.12395	0.04808	-0.01752	0.65659	-0.02281	0.21646	0.44808	0.98613	-0.37419	-0.42729	-0.37430	0.21938	0.06155	0.23607	-0.56370	(LocatedIn $x0 $x1)
p200093	-0.39339	0.38521	0.06232	0.55455	-0.59943	-0.05495	0.25724	0.01745	0.46189	0.65265	-0.13674	0.09573	-0.03044	0.08481	-0.15793	0.14854	-0.07301	0.12543	0.36870	-0.13765	0.07169	0.20174	-0.29732	0.65671	0.15820	-0.29852	0.11955	-0.34311	-0.15187	-0.23342	-0.09427	0.03760	(Cardinality $x0 <num>)
p200100	0.05323	0.04079	0.32847	0.15614	0.11960	0.02343	0.40458	0.18606	-0.11650	0.33777	-0.04610	-0.13849	-0.08261	0.11549	-0.03599	-0.45283	-0.22154	0.39273	0.19395	0.32032	-0.29321	-0.02251	-0.12230	-0.45432	-0.23673	0.01227	-0.12654	-0.13799	0.06334	0.45005	0.18713	0.24817	(And (Location $e0 $x0) (Past $e0))
p200105	0.18092	-0.02812	-0.03411	0.17124	0.17846	0.13035	-0.25901	0.12929	0.15272	-0.15231	-0.06685	-0.08764	-0.24325	-0.22933	0.05961	0.44768	0.00977	-0.16585	-0.26979	0.16508	-0.31856	0.25623	-0.19533	-0.00874	-0.08343	0.13068	0.35375	-0.02127	0.03967	0.74065	-0.01407	0.07334	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $x1))
p200112	-0.09060	0.13871	-0.01116	-0.20375	-0.50247	0.19785	-0.20228	0.02461	-0.00139	0.00616	0.10324	-0.05823	0.15693	-0.16668	-0.09058	0.20552	0.40667	-0.19396	-0.07775	0.65026	0.15179	-0.35438	-0.00854	0.07331	-0.01572	0.10992	0.13799	0.05961	-0.54117	-0.30607	0.00490	-0.00111	(And (Agent $e0 $x0) (Ongoing $e0))
p200114	-0.31160	-0.06993	0.01229	0.12403	0.20540	0.15690	-0.09036	0.02587	-0.26126	-0.17805	0.09076	0.00301	0.07579	0.09030	0.22781	0.11007	0.20676	0.22978	0.11049	0.06946	0.76112	0.27774	0.02959	0.13629	-0.13989	-0.21039	0.06455	0.44094	-0.13637	-0.00764	0.22350	-0.15736	(Member $x0 person)
p200128	-0.05561	0.09150	-0.02006	-0.28189	0.09418	-0.18636	-0.24869	-0.04758	0.06998	0.13341	0.13912	-0.02741	0.05861	-0.09450	0.18142	-0.04925	0.08653	0.24180	-0.14080	0.07367	0.38679	-0.22708	0.03348	0.31330	-0.13528	-0.10923	0.15056	0.00094	0.12860	0.06944	0.30629	-0.33079	(Possession $x0 $x1)
p200133	-0.01481	-0.09445	-0.11120	-0.11045	-0.11401	0.44455	-0.17543	-0.17452	-0.15075	-0.13791	-0.55321	0.25446	-0.12211	-0.17463	-0.18684	-0.02540	0.05447	0.77876	0.08934	-0.00886	-0.10780	0.02947	0.42892	-0.00511	0.51805	0.11417	0.29599	-0.00350	0.05707	-0.07711	-0.16929	0.06991	(Goal $e0 $x0)
p200137	-0.43663	-0.36409	0.08320	0.12574	0.23833	0.05635	0.11380	-0.16677	-0.08782	0.22797	0.05520	-0.06741	-0.28971	-0.17492	0.09495	0.21929	-0.14849	0.08618	-0.02877	-0.19687	0.09914	-0.04377	-0.30673	-0.39417	0.18269	-0.22858	-0.53079	0.04653	-0.25199	-0.36963	-0.09212	0.74467	(And (Agent $e0 $x0) (Past $e0) (Patient $e0 $x1))
p200160	-0.21362	0.04208	0.37169	-0.43001	0.30612	0.13006	-0.09686	-0.03552	-0.12435	0.07330	-0.00043	-0.18985	-0.00751	0.23763	-0.00808	0.03223	-0.23856	-0.21660	0.44950	-0.14871	0.13492	0.02658	-0.10033	0.27257	0.10772	0.21017	-0.00077	0.00829	-0.01574	0.11322	-0.47734	-0.15696	(And (Past $e0) (Theme $e0 $e1))
p200163	0.22392	-0.07411	0.40850	-0.05086	-0.01151	-0.32313	-0.13724	-0.20285	0.15159	0.29670	-0.24661	0.06511	0.23237	-0.16209	-0.21723	0.04441	-0.53219	-0.04972	0.19253	-0.11219	-0.09306	0.12416	0.19987	-0.09088	-0.18044	-0.30060	-0.15472	0.18126	0.02793	0.12568	0.24547	0.01797	(And (Experiencer $e0 $x0) (Past $e0))
p200164	-0.13302	0.01104	-0.06173	0.29613	-0.15260	-0.22012	0.08286	0.14358	-0.22257	-0.00572	0.23160	-0.10618	-0.05994	0.13951	-0.21826	-0.05669	-0.27071	-0.00149	-0.00697	-0.01982	-0.26902	0.10729	0.22030	-0.01926	0.47595	-0.15931	-0.03513	0.44969	0.00993	0.17755	-0.03588	0.18517	(PartOf $x0 $x1)
p200178	-0.22072	-0.21982	-0.07409	-0.02623	-0.26435	0.21293	0.26756	0.14758	0.13942	-0.00911	0.13845	0.08126	0.20473	-0.03173	0.06032	0.20020	-0.53599	-0.05234	0.21091	-0.05868	0.03198	-0.25316	0.20991	0.46165	0.01484	0.21945	-0.09886	-0.09043	0.07480	0.18540	0.24719	0.46723	(Member $e0 have)
p200192	-0.15238	0.02418	0.10705	0.31176	0.22680	0.09567	0.09080	0.05166	0.14869	-0.53320	0.18795	-0.28917	0.13870	0.00449	0.10215	-0.25888	0.54852	-0.09465	-0.18089	-0.13022	-0.08473	0.20611	0.26778	-0.20371	0.14522	0.17133	0.17720	-0.18025	-0.18895	-0.32263	-0.04364	0.47095	(Result $e0 $e1)
p200196	-0.22739	-0.21271	-0.07325	-0.02367	-0.28176	0.19990	0.26078	0.14632	0.13631	-0.00234	0.13312	0.08066	0.19939	-0.03661	0.06460	0.18868	-0.51237	-0.04135	0.20625	-0.06201	0.01832	-0.24609	0.20355	0.45096	0.01499	0.21179	-0.09520	-0.07986	0.07083	0.17469	0.24635	0.47271	(And (Member $e0 have) (Theme $e0 $x0))
p200209	-0.03762	-0.05973	-0.09880	-0.08414	-0.11051	0.37692	-0.11923	-0.13963	-0.11639	-0.12968	-0.47659	0.20055	-0.10679	-0.15738	-0.16480	0.00961	0.07916	0.66437	0.03807	-0.00587	-0.10516	0.03209	0.36551	-0.01097	0.43851	0.10091	0.21068	0.02362	0.04314	-0.08240	-0.15097	0.08093	(And (Goal $e0 $x0) (Past $e0))
p200210	0.19906	0.20431	-0.25738	-0.28954	0.21439	0.03032	0.02365	-0.07068	0.21998	0.14718	-0.08181	-0.16774	0.12100	-0.19543	-0.02549	0.04069	-0.44523	0.05882	0.16399	0.19965	-0.15894	0.17555	0.12493	-0.18359	-0.18752	-0.16682	-0.13285	0.01447	-0.44083	0.10612	0.05302	0.36629	(And (Ongoing $e0) (Past $e0))
p200214	0.29517	0.21367	-0.00936	0.05073	-0.22092	-0.20849	-0.01739	-0.16252	-0.03041	-0.64504	-0.02452	0.27474	0.25671	-0.19737	-0.02256	-0.25439	0.34060	-0.04121	-0.22021	-0.12445	0.07695	0.06343	-0.17933	0.30311	0.24255	0.21080	-0.25426	-0.06393	-0.18305	0.36574	-0.15890	0.04135	(And (Ongoing $e0) (Patient $e0 $x0))
p200233	-0.10455	0.26856	0.08601	0.02450	-0.02607	-0.23098	-0.09039	0.20427	-0.10597	-0.08443	-0.14014	0.24769	0.04666	0.09040	0.21665	0.12223	0.22928	0.04453	0.33863	-0.10777	-0.00937	-0.26271	-0.01807	-0.27833	-0.10178	-0.11835	0.00277	-0.21389	0.02308	0.00568	-0.01445	0.25408	(GroupOf $x0 person)
p200243	-0.05790	-0.03816	0.29926	0.18170	-0.18939	0.02407	0.11818	0.18714	-0.05450	-0.41367	-0.03870	0.09816	-0.11152	0.11239	-0.25781	-0.06320	0.51269	0.00936	0.00475	0.45475	0.27080	-0.19918	-0.21057	-0.06414	0.00410	0.13195	0.00546	-0.20565	-0.03197	0.13534	0.15451	0.12755	(And (Agent $e0 $x0) (Location $e0 $x1))
p200248	-0.05850	-0.05726	-0.01295	0.00038	-0.04924	-0.00863	0.01694	-0.02234	0.05388	0.00819	-0.02105	0.09722	0.16430	0.00216	-0.00273	-0.17930	0.01812	-0.01730	0.05060	-0.13373	0.00739	-0.11758	-0.02498	-0.08666	-0.03477	-0.00031	0.02027	-0.05254	0.02711	0.14907	-0.00835	-0.08615	(Future $e0)
p200249	0.03400	-0.00251	0.07490	-0.00728	-0.09398	0.02747	-0.08487	-0.06941	-0.10178	0.14164	0.08931	-0.09345	-0.06489	-0.00390	0.13302	0.06812	-0.03121	0.01447	0.00873	0.08684	-0.04893	0.07244	-0.02594	0.06371	-0.04996	0.08783	0.06738	0.01313	-0.00803	-0.05395	0.05348	0.03228	(Source $e0 $x0)
p200263	-0.08841	-0.07171	-0.10059	0.24397	0.08306	0.23472	-0.04587	0.20612	-0.16049	-0.07742	-0.10347	0.00864	0.15418	0.22633	0.36699	-0.20268	-0.06636	0.16214	-0.08747	-0.24212	0.92218	0.51617	0.06621	0.24792	-0.24165	-0.02610	0.00719	0.63652	-0.25323	0.14425	0.25685	-0.41066	(And (Agent $e0 $x0) (Member $x0 person))
p200292	-0.07394	0.02602	0.18019	0.22323	0.22536	0.08296	0.06877	0.07499	0.18237	-0.44291	0.14258	-0.17945	0.09123	-0.00997	0.15804	-0.19463	0.43424	-0.06409	-0.17784	-0.12667	-0.08374	0.15644	0.20763	-0.12313	0.14410	0.13052	0.20287	-0.15860	-0.12516	-0.25623	0.00587	0.33409	(And (Experiencer $e0 $x0) (Result $e1 $e0))
p200293	0.44652	0.08457	-0.04416	-0.32624	-0.04160	-0.08758	0.17446	-0.09855	0.38955	-0.26382	-0.11349	-0.10315	-0.04219	-0.10511	-0.25343	-0.09365	-0.28928	0.06040	0.13099	0.25213	0.02337	0.08425	-0.00359	-0.05052	-0.14087	-0.17181	0.03410	0.25726	-0.20605	0.14929	0.16566	0.42693	(And (Location $e0 $x0) (Ongoing $e0))
p200320	0.10726	0.04870	0.22793	-0.41605	0.06420	-0.02976	0.00591	-0.05799	0.01055	-0.09125	0.03000	-0.16350	-0.18851	0.08743	-0.02753	0.02671	-0.08329	-0.06880	0.19605	-0.04234	0.05967	-0.20572	-0.04424	0.13324	0.04272	0.14080	0.23932	0.09509	-0.03776	-0.09180	-0.08693	0.11320	(And (Agent $e0 $x0) (Theme $e0 $e1))
p200321	-0.11408	-0.25573	-0.06900	-0.13446	-0.12952	0.16784	0.22893	0.15718	0.00751	-0.03424	0.05502	0.07709	0.16063	-0.10824	0.09072	0.10006	-0.28263	-0.16054	0.13298	-0.01693	0.09206	-0.24781	0.30275	0.18898	-0.04349	0.23861	-0.13138	-0.10783	0.10442	0.24344	0.23008	0.24211	(And (Holder $e0 $x0) (Member $e0 have))
p200322	-0.29693	-0.00603	-0.02481	0.10960	0.11629	0.19586	0.02567	0.12845	0.32158	-0.28746	0.08189	-0.30457	0.13602	0.09284	-0.01216	-0.10637	0.33231	-0.10029	-0.04157	-0.04501	0.01039	0.07463	0.17814	-0.31812	0.10238	-0.02554	0.12284	-0.09872	-0.09019	-0.14315	-0.03441	0.32176	(And (Past $e0) (Result $e0 $e1))
p200323	-0.06238	0.03288	0.16396	0.21120	0.23142	0.08082	0.07653	0.07743	0.18477	-0.43748	0.14216	-0.17420	0.08413	-0.00810	0.16383	-0.19512	0.42400	-0.05896	-0.17426	-0.12545	-0.08468	0.15348	0.19973	-0.11636	0.14369	0.13186	0.20260	-0.15683	-0.12598	-0.25178	0.00275	0.32361	(And (Patient $e0 $x0) (Result $e0 $e1))
p200326	-0.02150	0.00535	-0.03635	0.04417	-0.05760	-0.03584	-0.01029	-0.00461	0.00358	-0.00860	-0.00170	0.01520	0.05420	0.04966	-0.00657	-0.09489	0.01718	0.00856	0.10013	-0.06778	0.05476	-0.01611	-0.01153	-0.06649	-0.02845	-0.04211	0.06008	0.00349	0.00420	0.00979	-0.00908	0.02402	(Can $e0)
p200327	-0.11408	-0.25573	-0.06900	-0.13446	-0.12951	0.16784	0.22893	0.15718	0.00752	-0.03424	0.05502	0.07709	0.16063	-0.10824	0.09072	0.10006	-0.28262	-0.16054	0.13298	-0.01693	0.09206	-0.24781	0.30275	0.18898	-0.04349	0.23861	-0.13138	-0.10783	0.10442	0.24345	0.23008	0.24211	(Holder $e0 $x0)
p200337	-0.13018	-0.25079	-0.06715	-0.13422	-0.12647	0.16249	0.22467	0.15521	0.00204	-0.03120	0.05201	0.07570	0.15873	-0.10928	0.09009	0.09348	-0.27324	-0.15631	0.13575	-0.02031	0.08041	-0.23995	0.29425	0.18864	-0.04287	0.23717	-0.12903	-0.09910	0.10157	0.23712	0.22863	0.24508	(And (Holder $e0 $x0) (Member $e0 have) (Theme $e0 $x1))
p200339	-0.13018	-0.25079	-0.06715	-0.13422	-0.12647	0.16249	0.22467	0.15521	0.00204	-0.03120	0.05201	0.07570	0.15873	-0.10928	0.09009	0.09348	-0.27325	-0.15631	0.13575	-0.02031	0.08041	-0.23995	0.29425	0.18864	-0.04287	0.23717	-0.12903	-0.09910	0.10157	0.23712	0.22863	0.24508	(And (Holder $e0 $x0) (Theme $e0 $x1))
p200343	0.04215	-0.04303	-0.02438	0.00228	-0.05815	0.00801	-0.00303	-0.03889	-0.01471	-0.01048	0.00623	-0.00434	0.06138	-0.01787	0.03804	-0.06466	0.04661	0.06516	0.06139	-0.04923	0.06352	-0.03435	0.01531	-0.08088	-0.04026	-0.04473	0.00355	-0.02416	0.00647	-0.04963	-0.06118	-0.01513	(Obligated $e0)
p200359	-0.16742	0.02925	-0.10698	0.34085	0.02729	-0.07346	-0.04887	-0.07562	-0.04386	-0.46922	0.20552	-0.05381	-0.02478	-0.00736	0.07613	0.04870	0.10539	0.07782	0.38415	0.15708	-0.33186	-0.10423	0.16077	-0.01487	0.05441	-0.18204	-0.12726	0.39442	0.15410	0.06652	-0.15045	-0.07490	(To $e0 $e1)
p200379	0.03426	-0.04675	0.29611	-0.35664	0.05826	0.02067	0.00521	-0.08030	-0.10485	-0.00491	0.04912	-0.17944	-0.18318	0.09233	-0.10454	0.02227	-0.08717	-0.07943	0.19524	0.06635	0.12902	-0.10311	-0.03852	0.24640	0.05976	0.15459	0.24329	0.16601	-0.02794	-0.16543	-0.09135	0.01495	(And (Agent $e0 $x0) (Theme $e1 $e0))
p200380	-0.05060	0.10630	0.23582	-0.17917	-0.67692	0.06423	0.01154	-0.04044	0.02150	0.21130	0.08016	-0.08243	0.01854	0.11609	0.14499	-0.02145	0.16131	-0.06610	0.05713	-0.11679	0.06849	-0.04851	0.03636	-0.07524	0.12639	0.09761	-0.06715	0.21423	0.04107	0.31779	-0.39067	0.06370	(And (Ongoing $e0) (Theme $e1 $e0))
p200416	-0.10838	-0.08845	-0.10696	0.16591	-0.06349	0.10550	-0.06034	-0.12352	-0.02482	0.00505	0.12199	-0.17957	0.19605	0.00981	-0.09896	-0.19899	0.06165	0.00416	0.08434	-0.06738	-0.00900	-0.04946	-0.03751	-0.13822	0.05466	-0.02509	-0.07665	-0.08368	-0.10207	0.00273	-0.01912	0.02662	(Member $e0 make)
p200422	-0.32472	0.20263	0.20020	-0.01262	-0.15998	0.05188	0.37807	-0.10712	0.05147	0.03892	-0.01329	0.01569	0.07032	-0.19376	0.01371	0.08277	0.16239	-0.08991	-0.10311	-0.20242	0.10629	-0.09135	0.00445	-0.14262	0.05383	0.03812	0.06673	0.24943	0.07524	0.23615	-0.22875	-0.20194	(Member $e0 start)
p200425	0.03186	0.01451	-0.07061	0.13795	-0.01838	0.15114	-0.06913	0.20342	-0.03569	-0.08235	-0.09832	0.02797	0.06710	0.21692	0.37316	-0.04188	-0.11863	0.16614	-0.18202	-0.25752	0.59664	0.41060	0.03318	0.20547	-0.15739	0.00150	-0.09052	0.45872	-0.20004	0.18075	0.17834	-0.19449	(And (Agent $e0 $x0) (Member $x0 person) (Past $e0))
p200431	0.01239	0.01061	0.00336	0.01296	-0.03184	-0.00426	-0.01225	-0.05893	-0.05209	0.02017	0.04023	-0.07236	-0.05046	-0.01503	0.05297	0.06453	-0.01092	-0.00389	-0.01054	0.06358	-0.00112	0.05825	-0.03170	0.04374	-0.04397	0.05896	0.06103	0.01357	-0.00723	-0.04558	0.05292	0.03989	(And (Past $e0) (Source $e0 $x0))
p200432	-0.11303	0.09483	0.04445	0.19137	-0.06558	0.07491	0.00446	-0.03217	0.14233	0.08697	0.09332	0.02589	0.04448	0.09088	-0.11660	0.13737	-0.25515	0.07623	0.01978	0.11665	-0.04633	0.00393	-0.14333	0.32326	0.09520	-0.04662	0.11000	0.01526	-0.10495	-0.09551	0.04528	0.03827	(GroupOf $x0 child)
p200433	-0.05496	-0.06009	-0.02648	-0.02741	-0.01771	-0.08276	0.02817	0.04145	-0.07683	0.00221	-0.02437	0.00573	0.00619	-0.00078	0.00218	-0.09762	0.07611	-0.00174	0.05687	-0.06990	-0.06304	0.03638	0.04034	-0.04626	-0.00729	-0.05105	-0.03804	0.06708	-0.01112	-0.04976	-0.07281	0.02947	(Member $e0 use)
p200434	-0.03440	-0.03167	-0.01047	0.02632	-0.03134	-0.02520	0.01574	0.05017	-0.07128	-0.00470	0.02616	-0.04625	-0.02218	-0.01066	-0.02336	-0.04042	-0.02772	0.01680	0.00787	-0.01322	-0.02963	0.04463	0.03596	-0.00509	0.08122	-0.01532	-0.02857	0.07589	0.01867	0.03099	-0.00263	0.03406	(Member $x0 house)
p200451	0.01672	0.06800	0.22165	-0.18078	-0.68534	0.04819	-0.02224	-0.02950	0.03524	0.21191	0.06226	-0.12517	-0.05038	0.13510	0.15203	0.00437	0.20917	-0.05876	0.07287	-0.08066	0.06796	-0.01761	0.05760	-0.05366	0.08341	0.08945	-0.06860	0.17535	0.04634	0.18157	-0.34180	0.11839	(And (Ongoing $e0) (Past $e1) (Theme $e1 $e0))
p200463	0.12365	0.05388	0.20964	-0.37962	-0.10240	-0.01855	-0.01115	-0.04103	0.05862	-0.06366	-0.01727	-0.16793	-0.20437	0.07923	0.03300	0.03784	0.05222	-0.04851	0.17337	-0.06500	0.05548	-0.14643	-0.02601	0.10162	0.01244	0.13196	0.14889	0.07428	-0.00911	-0.11718	-0.09846	0.16954	(And (Agent $e0 $x0) (Past $e0) (Theme $e0 $e1))
p200466	0.43219	-0.09652	-0.09072	0.11480	0.07633	0.03518	0.02294	-0.01651	-0.10126	0.11191	-0.04088	-0.07038	0.10303	0.05778	-0.15246	-0.04066	-0.13515	-0.06594	-0.09420	-0.04872	0.13335	-0.18718	0.07396	-0.02443	-0.03606	-0.21165	0.13118	-0.12710	-0.00287	0.08696	-0.09780	-0.05510	(And (Agent $e0 $x0) (Member $x0 thing))
p200480	0.10064	-0.01121	0.22868	-0.33205	-0.13424	-0.01005	-0.00589	-0.09537	-0.03009	0.04930	0.01579	-0.20256	-0.20126	0.08565	-0.03550	0.01894	0.01196	-0.08045	0.17908	-0.01248	0.10134	-0.07718	-0.00152	0.17598	0.03075	0.15762	0.15956	0.09959	-0.00206	-0.13738	-0.11498	0.09287	(And (Agent $e0 $x0) (Past $e1) (Theme $e1 $e0))
p200493	0.01708	-0.04317	0.10925	-0.03481	-0.18873	-0.09631	0.04518	-0.02487	-0.03314	-0.29791	-0.05363	0.09445	-0.10458	0.08424	-0.14722	0.02074	0.48963	0.02220	0.11490	0.15485	0.28929	0.02801	-0.11390	-0.07725	0.05291	-0.01589	-0.02001	-0.17257	0.01004	0.18067	0.05560	0.31986	(And (Location $e0 $x0) (Patient $e0 $x1))
p200494	0.23023	-0.07250	0.02323	0.02491	0.11204	0.02162	0.05990	0.00911	0.15562	-0.17169	0.12163	-0.01160	0.02292	-0.00619	0.08916	0.05681	-0.01161	0.19357	-0.01869	0.05304	0.07550	-0.10469	0.01492	0.01584	-0.06189	-0.16851	-0.13232	-0.07738	0.03742	-0.08889	-0.27624	-0.24919	(And (Member $x0 thing) (Theme $e0 $x0))
p200499	0.01471	0.00710	0.00708	0.05814	-0.00017	0.00842	0.04112	-0.00586	-0.00355	-0.00302	0.00341	-0.03380	0.02630	0.00106	-0.04979	-0.00339	0.00979	-0.03082	0.00677	-0.00935	0.07220	0.00810	0.01997	-0.03952	0.00064	-0.00652	-0.04394	-0.02677	0.02433	0.01294	-0.05598	-0.05520	(Stimulus $e0 $x0)
p200517	-0.23451	-0.00925	0.03811	0.03848	0.10832	0.18441	0.00415	0.14643	0.33385	-0.21101	0.04917	-0.20827	0.09669	0.07633	0.04076	-0.06096	0.24448	-0.07097	-0.03653	-0.04139	0.00221	0.02971	0.12851	-0.24833	0.10115	-0.06136	0.14432	-0.07409	-0.04307	-0.09555	0.00402	0.21053	(And (Experiencer $e0 $x0) (Past $e1) (Result $e1 $e0))
p200535	0.03891	-0.01804	-0.00328	-0.09009	0.00380	0.18798	-0.04926	-0.06930	-0.00766	-0.05121	-0.21989	0.09195	-0.10278	-0.09324	-0.06021	0.02160	-0.08422	0.33072	0.02872	-0.05463	-0.05871	-0.05960	0.15170	0.03143	0.21849	0.05178	0.16466	-0.01671	-0.00685	-0.03513	-0.05879	-0.00948	(And (Agent $e0 $x0) (Goal $e0 $x1))
p200536	-0.08413	0.06883	-0.04904	-0.11030	0.07515	-0.07807	-0.12012	-0.03873	0.07291	0.05915	0.08283	0.01169	0.03685	0.00430	0.18152	-0.01530	0.13498	0.18815	-0.08672	0.02565	0.18598	-0.06727	0.04626	0.23226	-0.11326	-0.06798	0.00907	0.12179	0.07666	0.06941	0.13286	-0.26662	(And (Member $x0 person) (Possession $x1 $x0))
p200546	0.23072	0.15031	-0.05827	0.20908	-0.19504	0.16432	-0.13061	-0.04966	-0.08728	-0.06621	-0.14900	-0.12893	0.03469	-0.22007	0.25841	-0.17344	0.00803	-0.00172	0.56376	-0.00651	0.14151	-0.10239	-0.08082	-0.18823	-0.20875	0.15076	0.16447	-0.17774	0.11596	-0.11594	0.13938	-0.04315	(Instrument $e0 $x0)
